0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:00:11 +0000] "GET /Webpage/index.jsp HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:01:40 +0000] "GET /Webpage/ HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:02:30 +0000] "GET /Webpage/ HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:02:36 +0000] "GET / HTTP/1.1" 200 11239
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:02:39 +0000] "GET /tomcat.css HTTP/1.1" 200 5584
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:02:39 +0000] "GET /tomcat.svg HTTP/1.1" 200 67795
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:02:39 +0000] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:02:39 +0000] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:02:39 +0000] "GET /asf-logo-wide.svg HTTP/1.1" 200 7089
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:02:39 +0000] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:02:39 +0000] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:02:39 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:03:02 +0000] "GET / HTTP/1.1" 200 11239
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:03:05 +0000] "GET / HTTP/1.1" 200 11239
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:19:34 +0000] "GET / HTTP/1.1" 200 11239
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:19:35 +0000] "GET /tomcat.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:19:35 +0000] "GET /tomcat.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:19:35 +0000] "GET /bg-upper.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:19:35 +0000] "GET /bg-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:19:35 +0000] "GET /bg-nav.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:19:35 +0000] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:19:35 +0000] "GET /bg-middle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:19:35 +0000] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:19:44 +0000] "GET /Webpage/forward.html HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:19:50 +0000] "GET / HTTP/1.1" 200 11239
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:22:18 +0000] "GET /Webpage/forward.html HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [16/Mar/2026:10:22:25 +0000] "GET / HTTP/1.1" 200 11239
